code,indicator,unit,category,series,opp,prefAvail,cityAvail,prefUsed,cityUsed,vintage,prefId,cityId
A140302,5歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1404,0～3歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140401,0～3歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140402,0～3歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1405,0～5歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140501,0～5歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140502,0～5歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1406,0～15歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140601,0～15歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140602,0～15歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1407,0～17歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140701,0～17歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140702,0～17歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1408,3～5歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140801,3～5歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140802,3～5歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1409,6～11歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140901,6～11歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140902,6～11歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1410,10～13歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141001,10～13歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141002,10～13歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1411,12～14歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
